systematic_name	cluster_id
YCL030C	R.L.L.L.L.R
YCL031C	R.L.R
YCL032W	R.L.R
YCL033C	R.L.R
YCL034W	L.R.L
YCL035C	R.L.L.R.L
YCL036W	R.R.R
YCL037C	R.R.R
YCL038C	R.L.R
YCL039W	L.R.L
YCL040W	L.R.R.L
YCL041C	L.R.L
YCL042W	L.L
YCL043C	R.L.L.R.L
YCL044C	L.R.L
YCL045C	R.L.L.L.L.R
YCL046W	L.R.L
YCL047C	R.L.L.R.L
YCL048W	R.L.L.R.L
YCL048W-A	L.R.L
YCL049C	R.L.R
YCL050C	L.R.L
YCL051W	L.R.R.L
YCL052C	L.R.R.L
YCL054W	R.R.R
YCL054W-A	R.L.L.R.L
YCL055W	L.R.L
YCL056C	R.L.L.R.R
YCL057C-A	R.L.L.R.L
YCL057W	R.L.R
YCL058C	R.L.L.R.L
YCL058W-A	R.R.R
YCL059C	R.R.R
YCL061C	L.R.L
YCL063W	R.L.R
YCL064C	R.L.R
YCL065W	R.L.L.R.L
YCL066W	L.L
YCL067C	L.R.L
YCL068C	R.L.L.R.L
YCL069W	R.L.L.R.L
YCL073C	R.L.L.R.L
YCL074W	R.L.L.R.L
YCL075W	R.L.L.R.L
YCL076W	R.L.L.R.L
YCR001W	R.L.L.R.L
YCR002C	R.L.R
YCR003W	R.R.L
YCR004C	R.L.R
YCR005C	L.R.L
YCR006C	L.L
YCR007C	L.L
YCR008W	L.R.L
YCR009C	L.R.L
YCR010C	L.R.L
YCR011C	L.R.R.L
YCR012W	R.L.L.R.L
YCR013C	L.L
YCR014C	L.L
YCR015C	R.R.L
YCR016W	R.R.R
YCR017C	R.L.R
YCR018C	R.L.L.L.L.L
YCR018C-A	R.L.L.R.L
YCR019W	R.L.R
YCR020C	R.L.L.L.L.R
YCR020C-A	R.L.L.R.R
YCR020W-B	R.L.L.R.R
YCR021C	L.L
YCR022C	L.R.L
YCR023C	R.R.L
YCR024C	R.L.R
YCR024C-A	R.L.L.R.L
YCR024C-B	R.L.L.R.L
YCR025C	R.L.L.R.L
YCR026C	R.L.R
YCR027C	R.L.R
YCR028C	R.L.L.R.R
YCR028C-A	R.L.R
YCR030C	R.L.R
YCR031C	R.L.L.L.L.L
YCR032W	R.L.L.L.L.L
YCR033W	L.L
YCR034W	R.R.L
YCR035C	R.L.R
YCR036W	R.L.R
YCR037C	R.L.R
YCR038C	L.R.L
YCR038W-A	R.L.L.R.L
YCR041W	L.L
YCR042C	R.L.L.L.L.L
YCR043C	R.L.R
YCR044C	R.L.R
YCR045C	L.R.L
YCR045W-A	L.R.L
YCR046C	R.L.R
YCR047C	R.R.R
YCR047W-A	L.L
YCR048W	L.R.L
YCR049C	R.L.L.R.L
YCR050C	L.R.L
YCR051W	R.R.L
YCR052W	R.L.R
YCR053W	R.L.L.R.L
YCR054C	R.L.L.R.L
YCR057C	R.R.R
YCR059C	R.R.R
YCR060W	R.L.L.R.R
YCR061W	R.L.R
YCR063W	L.L
YCR064C	R.L.L.R.L
YCR065W	R.L.L.L.R.L.R
YCR066W	R.L.L.R.L
YCR067C	R.L.R
YCR068W	L.R.R.L
YCR069W	R.L.L.R.L
YCR071C	R.L.L.L.L.L
YCR072C	R.R.R
YCR073C	L.R.L
YCR073W-A	R.L.R
YCR075C	R.R.L
YCR075W-A	R.L.R
YCR076C	R.L.R
YCR077C	R.L.R
YCR079W	L.R.L
